case_id,seed,model,mask_type,lesion_group,spacing_x_mm,spacing_y_mm,spacing_z_mm,voxel_volume_ml,subtype_correct_foreground_voxels,wrong_subtype_foreground_voxels,wrong_subtype_fraction_of_hard_binary_tp,dice,hd95_mm,hd95_defined,complete_miss,tp_voxels,fp_voxels,fn_voxels,fp_volume_ml,fn_volume_ml,precision,recall,pred_volume_ml,gt_volume_ml
case_011,3407,E0,hard_union,medium_1to10ml,0.4882810115814209,0.4882810115814209,5.228458404541016,0.0012465604645550948,587,0,0.0,0.37797810688989053,109.80222976842619,True,False,587,372,1560,0.46372049281449523,1.9446343247059479,0.6120959332638165,0.2734047508150908,1.1954514855083358,2.6763653173997883
case_011,3407,E0,soft_union_p0p5,medium_1to10ml,0.4882810115814209,0.4882810115814209,5.228458404541016,0.0012465604645550948,587,0,0.0,0.3779274943856272,109.91926674355634,True,False,589,381,1558,0.47493953699549113,1.9421412037768377,0.6072164948453608,0.2743362831858407,1.209163650618442,2.6763653173997883
case_011,3407,E2,hard_union,medium_1to10ml,0.4882810115814209,0.4882810115814209,5.228458404541016,0.0012465604645550948,226,390,0.6331168831168831,0.4009111617312073,79.5127047542407,True,False,616,310,1531,0.38643374401207936,1.90848407123385,0.6652267818574514,0.28691197019096415,1.1543149901780179,2.6763653173997883
case_011,3407,E2,soft_union_p0p5,medium_1to10ml,0.4882810115814209,0.4882810115814209,5.228458404541016,0.0012465604645550948,226,390,0.6331168831168831,0.41214470284237725,79.49043884306391,True,False,638,311,1509,0.3876803044766345,1.881059741013638,0.672286617492097,0.29715882626921286,1.1829858808627849,2.6763653173997883
case_017,3407,E0,hard_union,large_ge10ml,0.4882810115814209,0.4882810115814209,5.243000030517578,0.001250027396774676,3743,327,0.08034398034398034,0.3113286927254647,51.82149604987358,True,False,4070,7886,10120,9.857716050965095,12.65027725535972,0.3404148544663767,0.2868217054263566,14.945327555838025,17.737888760232654
case_017,3407,E0,soft_union_p0p5,large_ge10ml,0.4882810115814209,0.4882810115814209,5.243000030517578,0.001250027396774676,3743,327,0.08034398034398034,0.31509347925216596,51.85645000033319,True,False,4146,7980,10044,9.975218626261913,12.555275173204846,0.3419099455714993,0.2921775898520085,15.157832213289721,17.737888760232654
case_017,3407,E2,hard_union,large_ge10ml,0.4882810115814209,0.4882810115814209,5.243000030517578,0.001250027396774676,1923,479,0.1994171523730225,0.21444513882689045,30.358751587336197,True,False,2402,5810,11788,7.262659175260867,14.73532295317988,0.292498782269849,0.16927413671599717,10.265224982313638,17.737888760232654
case_017,3407,E2,soft_union_p0p5,large_ge10ml,0.4882810115814209,0.4882810115814209,5.243000030517578,0.001250027396774676,1923,479,0.1994171523730225,0.21402377060045066,30.194957927469623,True,False,2422,6021,11768,7.526414955980324,14.710322405244387,0.28686485846263177,0.17068357998590555,10.55398131096859,17.737888760232654
case_018,3407,E0,hard_union,large_ge10ml,0.4882810115814209,0.4882810115814209,5.176000595092773,0.001234053502179605,25452,39,0.0015299517476756502,0.7961210531247072,15.535676933750834,True,False,25491,5896,7160,7.275979448850951,8.83582307560597,0.8121515277025521,0.7807111573918104,38.73323727291126,40.29308089966628
case_018,3407,E0,soft_union_p0p5,large_ge10ml,0.4882810115814209,0.4882810115814209,5.176000595092773,0.001234053502179605,25452,39,0.0015299517476756502,0.7960967993754879,15.535676933750834,True,False,25495,5904,7156,7.285851876868388,8.830886861597254,0.8119685340297462,0.780833665125111,38.748045914937414,40.29308089966628
case_018,3407,E2,hard_union,large_ge10ml,0.4882810115814209,0.4882810115814209,5.176000595092773,0.001234053502179605,21444,580,0.026334907373774065,0.7300450808804031,21.448148664223844,True,False,22024,5661,10627,6.985976875838744,13.114286567662662,0.7955210402745169,0.6745275795534593,34.164771207842364,40.29308089966628
case_018,3407,E2,soft_union_p0p5,large_ge10ml,0.4882810115814209,0.4882810115814209,5.176000595092773,0.001234053502179605,21444,580,0.026334907373774065,0.7347686216283098,21.453307085212977,True,False,22269,5695,10382,7.02793469491285,12.811943459628658,0.7963453011014161,0.682031178218125,34.50907213495047,40.29308089966628
case_028,3407,E0,hard_union,large_ge10ml,0.408203125,0.408203125,5.0,0.0008331489562988281,61665,33620,0.3528362281576324,0.8015967157122547,5.0,True,False,95285,19649,27519,16.370543842315673,22.927426128387452,0.8290410148433014,0.7759112081039705,95.75714214324951,102.3140244293213
case_028,3407,E0,soft_union_p0p5,large_ge10ml,0.408203125,0.408203125,5.0,0.0008331489562988281,61665,33620,0.3528362281576324,0.8033472100987041,5.0,True,False,95714,19770,27090,16.47135486602783,22.570005226135255,0.8288074538464203,0.7794045796553858,96.21537406921387,102.3140244293213
case_028,3407,E2,hard_union,large_ge10ml,0.408203125,0.408203125,5.0,0.0008331489562988281,63756,22376,0.259787303209028,0.768997950993478,5.016635305786116,True,False,86132,15075,36672,12.559720516204834,30.553238525390626,0.8510478524212752,0.7013778052832156,84.3205064201355,102.3140244293213
case_028,3407,E2,soft_union_p0p5,large_ge10ml,0.408203125,0.408203125,5.0,0.0008331489562988281,63756,22376,0.259787303209028,0.7709968873709194,5.0,True,False,86571,15194,36233,12.658865242004394,30.18748613357544,0.8506952292045399,0.7049526074069249,84.78540353775024,102.3140244293213
case_034,3407,E0,hard_union,medium_1to10ml,0.4375,0.4375,5.0,0.00095703125,1284,0,0.0,0.6970684039087948,36.02513860367391,True,False,1284,420,696,0.40195312499999997,0.66609375,0.7535211267605634,0.6484848484848484,1.63078125,1.8949218749999999
case_034,3407,E0,soft_union_p0p5,medium_1to10ml,0.4375,0.4375,5.0,0.00095703125,1284,0,0.0,0.6966901790558871,36.02062414022802,True,False,1284,422,696,0.4038671875,0.66609375,0.7526377491207503,0.6484848484848484,1.6326953124999999,1.8949218749999999
case_034,3407,E2,hard_union,medium_1to10ml,0.4375,0.4375,5.0,0.00095703125,1208,0,0.0,0.6293305548319875,92.8166211505155,True,False,1208,651,772,0.62302734375,0.738828125,0.6498117267348037,0.6101010101010101,1.77912109375,1.8949218749999999
case_034,3407,E2,soft_union_p0p5,medium_1to10ml,0.4375,0.4375,5.0,0.00095703125,1208,0,0.0,0.6324254215304799,92.8106628553928,True,False,1219,656,761,0.6278125,0.72830078125,0.6501333333333333,0.6156565656565657,1.79443359375,1.8949218749999999
case_041,3407,E0,hard_union,small_lt1ml,0.49486300349235535,0.49486300349235535,5.0,0.0012244469611273744,494,0,0.0,0.08200531208499336,113.55400612503105,True,False,494,10927,133,13.37953194423882,0.1628514458299408,0.04325365554679975,0.7878787878787878,13.984408743035743,0.7677282446268637
case_041,3407,E0,soft_union_p0p5,small_lt1ml,0.49486300349235535,0.49486300349235535,5.0,0.0012244469611273744,494,0,0.0,0.08176100628930817,113.54334878061489,True,False,494,10963,133,13.423612034839406,0.1628514458299408,0.04311774461028192,0.7878787878787878,14.02848883363633,0.7677282446268637
