mask_type,seed,model,n_cases,mean_dice,sample_sd_dice,median_dice,minimum_dice,mean_hd95_mm_defined,hd95_defined_cases,complete_miss_cases,mean_fp_volume_ml,mean_fn_volume_ml,mean_precision,mean_recall
hard_union,3407,E0,39,0.6436538853677304,0.2591300727067058,0.7250813881000208,0.0,30.16762850191638,39,0,5.564568546112854,7.800373574605892,0.6928671148635512,0.6632992513344756
hard_union,3407,E2,39,0.6244384178359348,0.2640260136789979,0.72678305198865,0.0,34.018086202768316,39,0,4.70069505680839,9.227273715061001,0.6933185922151419,0.6350664495696149
hard_union,1234,E0,39,0.6413097225875922,0.2705520308646731,0.7527971289845894,0.0,28.3978884890632,39,0,4.0258631157975495,8.679121259768026,0.7148354557043641,0.6243049986950304
hard_union,1234,E2,39,0.6275647314490802,0.2554248503621834,0.7209116243136605,0.0,37.8808332182436,39,0,5.782380354513608,8.43800973348083,0.657386488625793,0.664529899319452
hard_union,5678,E0,39,0.6410390613196685,0.24394163966180923,0.7333368909760393,0.0,37.04615212232794,39,0,5.885876484204936,8.140265941332949,0.6655887568172106,0.6816427673032402
hard_union,5678,E2,39,0.6436912257416385,0.24385621049704034,0.7244042573231609,0.0,34.422122329062454,39,0,5.762572340339186,8.027694548012802,0.6694984418001739,0.6794619703148149
soft_union_p0p5,3407,E0,39,0.644295518853119,0.2596398895302304,0.7278380432529538,0.0,30.182360319029666,39,0,5.625391867918313,7.680985929078283,0.6915929305295181,0.665695850024079
soft_union_p0p5,3407,E2,39,0.6260986718868335,0.26452437163808984,0.7282681778887715,0.0,34.02328024323831,39,0,4.739228897507877,9.05111384293035,0.6928062207989752,0.6381247811176047
soft_union_p0p5,1234,E0,39,0.6430310696314023,0.27007880406800583,0.7534439134101771,0.0,28.380331469104465,39,0,4.074190163793771,8.539533914638254,0.7142315481756374,0.6277903851062681
soft_union_p0p5,1234,E2,39,0.6292530933752973,0.25517799534940994,0.7280940712652805,0.0,37.994081232195626,39,0,5.850992562557043,8.253984537168789,0.6561830764501964,0.6682597623363011
soft_union_p0p5,5678,E0,39,0.6419069743834842,0.24399020210122158,0.7337715152447737,0.0,37.054113194937,39,0,5.937508989655482,8.053583292007739,0.664842191704564,0.6841581717733284
soft_union_p0p5,5678,E2,39,0.6446519576037453,0.24385146128841792,0.7252224032076181,0.0,34.316745187741226,39,0,5.879907434149338,7.897841210800244,0.6672468806395437,0.6831925231385905
